Port,Container
53,backpack-coredns
53,backpack-dnsmasq
67,backpack-coredhcp
69,backpack-atftpd
123,backpack-chrony
162,backpack-nav-manager
1812,backpack-freeradius
1813,backpack-freeradius
2003,backpack-graphite-statsd
2055,backpack-fastnetmon
5514,backpack-logstash
5515,backpack-the-dude
5555,backpack-riemann
8098,backpack-bgbilling-server
8125,backpack-graphite-statsd
8901,backpack-dkron-server-1
8904,backpack-dkron-server-2
8907,backpack-dkron-server-3
8909,backpack-dkron-agent-1
8911,backpack-dkron-agent-2
8913,backpack-dkron-agent-3
9999,backpack-nfdump
